Designator,Mid X,Mid Y,Rotation,Layer
C22,-157.28,-134.5,90,bottom
C23,-152,-127,-90,bottom
C24,-154.5,-127,-90,bottom
C25,-157.5,-127,-90,bottom
C26,-155.78,-134.5,-90,bottom
IC1,-156,-130,0,bottom
J4,-139.45,-89.2,90,bottom
J5,-139.3,-123,90,bottom
J10,-117.475,-100.225,-90,bottom
Q3,-152.471,-119,0,bottom
Q4,-152.471,-122.825,0,bottom
R13,-151.5,-129.0477,0,bottom
R14,-151.5,-130.5477,0,bottom
R15,-151.5,-132.0477,0,bottom
R16,-151.5,-133.5477,180,bottom
U4,-163,-129,180,bottom
C1,178.43,-129,90,top
C2,173.1,-127.7,180,top
C3,185,-125.5,90,top
C4,182.48,-125.5,0,top
C5,172.5,-125.4,180,top
C6,178.38,-125.5,180,top
C7,173.7,-106.6,180,top
C8,181.3,-105,90,top
C9,180.3,-116.74,-90,top
C10,172,-92,90,top
C11,181.74,-92.78,180,top
C12,173,-100,180,top
C13,180.74,-95,90,top
C14,179.24,-95,90,top
C15,177.74,-95,90,top
C16,174.25,-76.75,180,top
C17,182,-77.98,-90,top
C18,174.25,-83.5,180,top
C19,181.25,-80.25,90,top
C20,182.5,-80.25,90,top
C21,180,-80.27,90,top
C27,116.36,-86.5,90,top
C28,148.8,-80.2,180,top
D1,174.3,-130.3,0,top
D2,183.8,-120,90,top
D3,122.37,-77.75,-90,top
D4,120.2,-133.7,-90,top
D5,123.87,-78.25,90,top
D6,117.6836,-79.5,90,top
J1,186.1,-139.6,-90,top
J2,198.5,-132.5,90,top
J3,137.5,-76.95,180,top
J6,118.6836,-74.3588,-90,top
J7,117.8,-117.375,0,top
J8,117.7,-137.6,90,top
J9,155,-76,0,top
J11,112.04,-131.625,180,top
J12,117.46,-109.94,180,top
L1,194.45,-117.5,90,top
Module1_A,129,-136,0,top
Module1_B,162,-136,0,top
Q1,182.2,-130,0,top
Q2,178,-92,0,top
Q5,165,-74,0,top
R1,171.5,-130,-90,top
R2,171.6,-111.4,-90,top
R3,171.41,-118.44,0,top
R4,182.24,-91.0391,90,top
R5,182.24,-97.3564,-90,top
R6,182.21,-95,90,top
R7,180.74,-97.49,90,top
R8,182,-75.75,90,top
R9,181.5,-82.5,-90,top
R10,180,-82.5,-90,top
R11,181.5,-84.8073,-90,top
R12,122.37,-81.5,-90,top
R17,118.5,-131.1,180,top
R18,124,-81.5,-90,top
R19,116.3744,-83.7624,90,top
R20,119.7272,-83.8132,-90,top
R21,138.45,-120.55,90,top
R22,141.2,-120.8,90,top
R23,117.998,-83.2544,0,top
U1,176,-115,-90,top
U2,192,-94,0,top
U3,192,-80.5,0,top
U5,117.7,-133.7,90,top
U6,118.2,-92.3,90,top
U7,123.4,-133.5,-90,top
