Designator,Mid X,Mid Y,Rotation,Layer
C1,178.43,-129.0,90.0,top
C10,172.0,-92.0,90.0,top
C11,181.74,-92.78,180.0,top
C12,173.0,-100.0,180.0,top
C13,180.74,-95.0,90.0,top
C14,179.24,-95.0,90.0,top
C15,177.74,-95.0,90.0,top
C16,174.25,-76.75,180.0,top
C17,182.0,-77.98,270.0,top
C18,174.25,-83.5,180.0,top
C19,181.25,-80.25,90.0,top
C2,173.1,-127.7,180.0,top
C20,182.5,-80.25,90.0,top
C21,180.0,-80.27,90.0,top
C22,157.28,-134.5,90.0,bottom
C23,152.0,-127.0,270.0,bottom
C24,154.5,-127.0,270.0,bottom
C25,157.5,-127.0,270.0,bottom
C26,155.78,-134.5,270.0,bottom
C27,116.36,-86.5,90.0,top
C28,148.8,-80.2,180.0,top
C3,185.0,-125.5,90.0,top
C4,182.48,-125.5,0.0,top
C5,172.5,-125.4,180.0,top
C6,178.38,-125.5,180.0,top
C7,173.7,-106.6,180.0,top
C8,181.3,-105.0,90.0,top
C9,180.3,-116.74,270.0,top
CM4_A,128.96,-136.005,0.0,top
CM4_B,162.91,-136.005,0.0,top
D1,174.3,-130.3,0.0,top
D2,183.8,-120.0,90.0,top
D3,122.37,-77.75,270.0,top
D4,120.2,-133.7,270.0,top
D5,123.87,-78.25,90.0,top
D6,117.6836,-79.5,90.0,top
IC1,156.0,-130.0,0.0,bottom
J1,186.1,-139.6,270.0,top
J10,117.475,-100.225,270.0,bottom
J11,112.04,-131.625,180.0,top
J12,117.46,-109.94,180.0,top
J2,198.5,-132.5,90.0,top
J3,137.5,-76.95,180.0,top
J4,139.45,-89.2,90.0,bottom
J5,139.3,-123.0,90.0,bottom
J6,118.6836,-74.3588,270.0,top
J7,117.8,-117.375,0.0,top
J8,117.7,-137.6,90.0,top
J9,155.0,-76.0,0.0,top
L1,194.45,-117.5,90.0,top
Module1,129.0,-136.0,0.0,top
Q1,182.2,-130.0,0.0,top
Q2,178.0,-92.0,0.0,top
Q3,152.471,-119.0,0.0,bottom
Q4,152.471,-122.825,0.0,bottom
Q5,165.0,-74.0,0.0,top
R1,171.5,-130.0,270.0,top
R10,180.0,-82.5,270.0,top
R11,181.5,-84.8073,270.0,top
R12,122.37,-81.5,270.0,top
R13,151.5,-129.0477,0.0,bottom
R14,151.5,-130.5477,0.0,bottom
R15,151.5,-132.0477,0.0,bottom
R16,151.5,-133.5477,180.0,bottom
R17,118.5,-131.1,180.0,top
R18,124.0,-81.5,270.0,top
R19,116.3744,-83.7624,90.0,top
R2,171.6,-111.4,270.0,top
R20,119.7272,-83.8132,270.0,top
R21,138.45,-120.55,90.0,top
R22,141.2,-120.8,90.0,top
R23,117.998,-83.2544,0.0,top
R3,171.41,-118.44,0.0,top
R4,182.24,-91.0391,90.0,top
R5,182.24,-97.3564,270.0,top
R6,182.21,-95.0,90.0,top
R7,180.74,-97.49,90.0,top
R8,182.0,-75.75,90.0,top
R9,181.5,-82.5,270.0,top
U1,176.0,-115.0,270.0,top
U2,192.0,-94.0,0.0,top
U3,192.0,-80.5,0.0,top
U4,163.0,-129.0,180.0,bottom
U5,117.7,-133.7,90.0,top
U6,118.2,-92.3,90.0,top
U7,123.4,-133.5,270.0,top
