Designator,Footprint,Quantity,Value,LCSC Part #
C1,0201,1,4.7u,C335103
"C10, C9",0402,2,4.7uF,C2858031
"C11, C13, C14",0201,3,0.01uF,C285010
C12,CP_EIA-7343-31_Kemet-D,1,330uF,C105408
"C15, C21, C27",Kemet _3760_H,3,470uF,C600599
"C16, C18, C22, C24, C28, C30, C34, C39, C40, C41, C42, C43, C44, C45, C46, C48, C7, C8",0201,18,100n,C307380
"C17, C23, C29",CP_EIA-7343-31_Kemet-D,3,470uF,C116576
"C19, C25, C31, C35, C36, C37, C38",0201,7,33p,C277477
C2,0201,1,nf,
"C20, C26, C32",0201,3,10p,C272871
"C3, C33, C4, C5",0201,4,1u,C87143
C47,0201,1,104,C307380
C6,0603,1,10u 35v,C194427
D1,SOT-23,1,MMBZ5242BLT1G,C236184
D2,D_SMA,1,SS54,C908681
D3,0402,1,PWR,C130719
D4,0402,1,W,C130724
D5,SOT-23,1,PSM712-LF-T7,C32677
IC1,SOT95P280X145-6N,1,DALC208SC6,C5123934
J1,TerminalBlock_bornier-2_P5.08mm,1,pwr,C3018698
J10,PinHeader_1x04_P2.54mm_Vertical,1,DEBUG,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
J12,PinHeader_1x04_P2.54mm_Vertical,1,FAN,C5116483
J2,PinHeader_2x03_P2.54mm_Vertical,1,SYS,
J3,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,CAM1,C262668
J4,FPC-SMD_P0.50-24P_QCHF-SM-H2.0,1,CAM0,C262683
J5,Quectel_EG25-G_Mini_PCIe,1,Bus_PCI_Express_Mini,C266899
J6,BUS_PCI_Express_Mini_Half,1,Bus_PCI_Express_Mini,C266899
J7,TE_2309413-1,1,2309413-1,
J8,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J9,RJ45-TH_R-RJ45R08P-C000,1,RJ45_LED_Shielded,C386757
L1,L_12x12mm_H8mm,1,CDRH127/LDNP-150MC,C879410
"Q1, Q14, Q15, Q16, Q4, Q6, Q8",TRXDFN100X60X40-3N,7,DMN26D0UFB4-7,C260867
"Q10, Q9",SOTFL50P160X85-3N,2,DTC143ZEBTL,C308696
Q11,SOT-23,1,NX2301P,C191273
"Q12, Q13",SOT-23,2,BC857B,C556165
"Q2, Q5, Q7",SOT65P210X110-3N,3,DMN61D9UW,C151592
Q3,Diodes_PowerDI3333-8,1,DMP3013SFV-7,C264098
"R1, R10, R13, R28, R41, R45, R46, R49, R50",0201,9,100K,C106224
"R11, R14",0201,2,1.27,C2691510
"R12, R18, R6",0201,3,82K 1%,C384402
"R15, R19, R7",0201,3,51K,C171974
"R16, R20, R8",0201,3,470R,C304545
"R17, R21, R9",0201,3,47K 1%,C138139
R2,0201,1,5.6R,C367405
R22,0201,1,681K,C423447
R23,0201,1,1M,C2105628
R24,0201,1,191K,C778415
R25,0201,1,1.8K,C171943
"R26, R27, R31, R48",0201,4,0R,C106228
"R29, R32, R33, R34, R35, R36, R55",0201,7,1K,C131396
R3,0201,1,12K 1%,C226413
"R30, R4, R53, R57, R58, R59",0201,6,10K,C106225
"R37, R38, R39",0201,3,22R,C155743
R40,0201,1,15K,C965337
R42,0201,1,47K,C138139
R43,0201,1,20K,C295787
R44,0201,1,2M,C106228
"R47, R51, R54",0201,3,120R,C295718
R5,0201,1,3.16K,C367583
R52,0201,1,360R ,C2930003
R56,0201,1,360R,C2930003
"SP1, SP2, SP3, SP4",9774060151,4,9774060151,9774060151
TP1,TestPoint_Pad_D1.0mm,1,12V,
"TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,5,TestPoint,
"TVS1, TVS10, TVS11, TVS12, TVS13, TVS14, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9",DIOM1006X40N,14,ESD9L5.0ST5G,C2682269
U1,SOT-23-5,1,AP2127K-1.8,C151375
U10,QFN40P140X180X55-10N,1,TS3USB30ERSWR,TS3USB30ERSWR
U11,PSON127P500X600X82-9N,1,SIM-E-MFF2-GL-250,
"U12, U13, U14, U15",SOP65P640X120-20N,4,TXB0108PWR,C53406
U16,IC_TXB0302DQMR,1,TXB0302DQMR,C2652938
U17,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,C9943
U2,CONV_TPS5450DDAR,1,TPS5450DDAR,C114425 
"U3, U4, U5",TO-263-5_TabPin3,3,MIC29302WU,C11149
U6,TSOT-23-6,1,LTC6994xS6-1,OUT_OS
"U7, U8, U9",SOT65P210X110-5N,3,SN74LV1T125DCKR,C75925
