Designator,Mid X,Mid Y,Rotation,Layer
C1,145.25,-111.75,0.0,bottom
C10,162.0,-126.0,0.0,top
C11,162.0,-128.75,0.0,top
C12,147.0,-111.5,270.0,top
C13,150.5,-106.845,90.0,top
C14,148.5,-125.0,90.0,top
C15,141.0,-110.75,270.0,top
C16,155.155,-105.0,180.0,top
C17,156.0,-88.5,180.0,top
C18,162.0,-94.5,90.0,top
C19,163.0,-94.5,90.0,top
C2,145.25,-110.75,0.0,bottom
C20,164.0,-94.5,90.0,top
C21,145.0,-87.5,180.0,top
C22,147.5,-83.0,180.0,top
C23,155.5,-64.5,180.0,top
C24,161.0,-72.5,90.0,top
C25,162.0,-72.5,90.0,top
C26,163.0,-72.5,90.0,top
C27,144.25,-89.0,180.0,bottom
C28,149.75,-87.25,90.0,bottom
C29,156.625,-107.0,180.0,bottom
C3,147.25,-111.75,180.0,bottom
C30,161.125,-102.0,270.0,bottom
C31,162.125,-102.0,270.0,bottom
C32,163.125,-102.0,270.0,bottom
C33,139.25,-132.5,0.0,top
C34,100.0,-131.25,180.0,top
C35,120.5,-59.75,180.0,bottom
C36,116.3,-65.2,90.0,bottom
C37,113.25,-66.25,90.0,bottom
C38,115.5,-58.45,270.0,bottom
C39,108.25,-66.155,270.0,bottom
C4,147.25,-110.75,180.0,bottom
C40,83.5,-79.25,180.0,bottom
C41,73.25,-78.0,0.0,top
C42,90.0,-91.5,0.0,bottom
C43,81.0,-98.75,180.0,bottom
C44,81.0,-58.0,90.0,top
C45,84.5,-60.5,270.0,bottom
C46,85.75,-56.5,0.0,bottom
C47,87.5,-133.25,0.0,top
C48,100.25,-55.75,270.0,top
C5,147.25,-109.75,180.0,bottom
C6,139.565,-122.48,270.0,top
C7,142.065,-121.48,180.0,top
C8,140.25,-129.5,270.0,top
C9,162.0,-127.25,0.0,top
D1,142.565,-123.98,0.0,top
D2,147.75,-120.0,270.0,top
D3,139.25,-51.75,270.0,top
D4,92.5,-52.25,90.0,top
D5,81.8,-129.9,90.0,top
IC1,116.5,-61.7,90.0,bottom
J1,146.21,-136.0,0.0,top
J10,88.3,-52.25,270.0,top
J11,80.725,-137.5,90.0,top
J12,97.7,-52.5,90.0,top
J2,142.725,-54.025,90.0,top
J3,106.0,-135.05,0.0,top
J4,131.5,-136.0,180.0,top
J5,96.0,-70.25,90.0,bottom
J6,94.65,-119.0,90.0,bottom
J7,129.68,-86.5,270.0,top
J8,73.225,-81.125,0.0,top
J9,78.25,-67.75,90.0,bottom
L1,157.0,-115.0,90.0,top
Q1,147.75,-117.25,180.0,bottom
Q10,109.0,-86.25,180.0,bottom
Q11,84.75,-81.5,0.0,bottom
Q12,86.75,-86.5,0.0,bottom
Q13,80.75,-85.0,270.0,bottom
Q14,105.25,-58.0,90.0,top
Q15,105.25,-61.0,180.0,top
Q16,101.75,-57.5,90.0,top
Q2,144.75,-117.25,0.0,bottom
Q3,143.0,-128.5,270.0,top
Q4,164.0,-97.455,90.0,top
Q5,160.5,-98.0,270.0,top
Q6,163.0,-75.5,90.0,top
Q7,160.0,-76.0,0.0,top
Q8,136.75,-51.25,180.0,top
Q9,105.0,-86.25,180.0,bottom
R1,147.75,-118.75,180.0,bottom
R10,162.5,-97.3,270.0,top
R11,161.18,-100.5,180.0,top
R12,158.0,-69.5,270.0,top
R13,161.5,-74.5,270.0,top
R14,161.845,-77.0,180.0,top
R15,158.25,-73.75,180.0,top
R16,160.0,-72.5,90.0,top
R17,157.0,-69.5,90.0,top
R18,150.5,-105.5,180.0,bottom
R19,153.5,-91.25,180.0,bottom
R2,145.405,-118.75,0.0,bottom
R20,160.125,-102.0,270.0,bottom
R21,148.75,-105.5,180.0,bottom
R22,152.5,-55.0,270.0,top
R23,153.5,-55.0,90.0,top
R24,152.75,-61.0,180.0,top
R25,138.25,-51.5,90.0,top
R26,137.25,-52.82,90.0,top
R27,136.25,-52.82,90.0,top
R28,139.5,-61.0,90.0,top
R29,137.5,-132.5,180.0,top
R3,139.565,-124.98,180.0,top
R30,122.0,-133.5,180.0,top
R31,122.0,-134.5,180.0,top
R32,117.75,-138.25,270.0,top
R33,118.75,-138.25,270.0,top
R34,119.75,-138.25,270.0,top
R35,120.75,-138.25,270.0,top
R36,93.75,-52.515,270.0,top
R37,110.5,-66.25,90.0,bottom
R38,112.25,-66.25,90.0,bottom
R39,111.75,-57.25,270.0,bottom
R4,148.5,-127.75,270.0,top
R40,109.5,-66.25,270.0,bottom
R41,89.25,-87.5,270.0,bottom
R42,79.75,-87.5,180.0,bottom
R43,89.5,-96.5,180.0,bottom
R44,89.5,-97.5,0.0,bottom
R45,81.0,-97.75,180.0,bottom
R46,78.5,-91.25,0.0,bottom
R47,78.75,-58.25,0.0,top
R48,81.0,-56.5,0.0,bottom
R49,83.25,-57.0,90.0,top
R5,148.5,-129.5,270.0,top
R50,81.0,-57.5,180.0,bottom
R51,84.75,-75.5,180.0,top
R52,81.2,-133.1,180.0,top
R53,104.905,-55.5,180.0,top
R54,82.0,-134.0,180.0,top
R55,105.25,-59.75,180.0,top
R56,82.7,-133.1,180.0,top
R57,101.5,-55.5,0.0,top
R58,107.25,-61.0,90.0,top
R59,101.75,-59.25,0.0,top
R6,157.75,-91.75,270.0,top
R7,162.75,-100.5,180.0,top
R8,161.0,-94.5,90.0,top
R9,156.75,-91.845,90.0,top
SP1,161.5,-136.5,0.0,top
SP2,73.5,-53.5,0.0,top
SP3,73.5,-136.5,0.0,top
SP4,161.5,-53.5,0.0,top
TVS1,113.0,-131.25,0.0,top
TVS10,130.25,-112.5,90.0,bottom
TVS11,99.5,-128.25,180.0,top
TVS12,99.48,-129.5,180.0,top
TVS13,86.0,-55.25,0.0,top
TVS14,82.25,-55.25,180.0,top
TVS2,113.0,-130.0,0.0,top
TVS3,110.75,-135.75,270.0,bottom
TVS4,109.5,-135.75,270.0,bottom
TVS5,108.25,-135.75,270.0,bottom
TVS6,107.0,-135.75,270.0,bottom
TVS7,129.75,-120.25,270.0,bottom
TVS8,130.75,-116.25,90.0,bottom
TVS9,128.5,-116.25,270.0,bottom
U1,146.25,-114.25,180.0,bottom
U10,119.0,-134.0,270.0,top
U11,111.0,-61.75,270.0,bottom
U12,110.75,-74.25,180.0,bottom
U13,84.25,-103.0,180.0,bottom
U14,82.25,-126.5,180.0,bottom
U15,84.25,-93.5,180.0,bottom
U16,83.75,-58.0,90.0,bottom
U17,81.25,-115.5,270.0,top
U2,153.5,-126.75,0.0,top
U3,147.725,-97.3,180.0,top
U4,147.875,-74.5,180.0,top
U5,147.5,-98.5,180.0,bottom
U6,152.5,-58.25,90.0,top
U7,138.75,-58.25,0.0,top
U8,137.5,-130.0,270.0,top
U9,95.5,-134.0,0.0,top
